sr_no,gender,hue,value,height,physique,color_season,event,wedding_category,location,forecast,date ,top,top_fabric,top_color,top_decor,bottom,bottom_fabric,bottom_color,bottom_decor,dupatta_fabric,dupatta_color,dupatta_decor,hijab_color,shoes,shoes_color,accessories
31,female,warm,dark,tall,skinny/slim,autumn,wedding,walima,islamabad,32,22-06-24,kurti,organza,powder pink,embellishments,block trouser,raw silk,powder pink,plain,organza,powder pink,embroidery,silver,heels,silver,clutch
32,female,warm,dark,tall,skinny/slim,autumn,eid,nill,islamabad,32,22-06-24,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
33,female,warm,dark,tall,skinny/slim,autumn,party,nill,islamabad,28,29-04-24,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
34,female,warm,dark,tall,skinny/slim,autumn,office/uni,nill,islamabad,28,29-04-24,short kurti ,texture lawn ,tea pink ,laced cuffs,wide-leg trouser,cambric ,tea pink,plain,chiffon,white,plain ,white,pumps,powder pink,hand bag
35,female,warm,dark,tall,skinny/slim,autumn,dawat,nill,islamabad,28,29-04-24,kurti ,cotton ,plum ,shiffli ,straight pants,cambric ,plum ,plain ,zari ,plum ,sequins ,plum ,heels,plum ,nill
36,female,warm,dark,tall,chubby/obese,autumn,wedding,mehndi,islamabad,28,29-04-24,a-line kameez,jacquard silk net,burnt orange,embellishments,straight pants,raw silk,burnt orange,plain,chiffon,teal,embellishment,burnt orange,khussa ,burnt orange,clutch
37,female,warm,dark,tall,chubby/obese,autumn,wedding,barat,islamabad,32,11-07-24,kaftan,blended chiffon + blended raw silk slip,pewter grey,crystals resham sequins gathered sleeves with pearl drops,straight pants,blended raw silk,pewter grey ,plain,nill,nill,nill,silver,heels,silver,clutch
38,female,warm,dark,tall,chubby/obese,autumn,wedding,walima,islamabad,32,11-07-24,peshwas,blended raw silk,off-white,silver thread work zardozi jewelled tassles beadwork on sleeves neckline and panel motifs,straight pants,blended raw silk,off-white,plain,organza,off-white,border work motifs,golden,heels,golden,clutch
39,female,warm,dark,tall,chubby/obese,autumn,eid,nill,islamabad,32,11-07-24,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
40,female,warm,dark,tall,chubby/obese,autumn,party,nill,islamabad,32,11-07-24,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
41,female,warm,dark,tall,chubby/obese,autumn,office/uni,nill,islamabad,38,18-02-25,kurta ,karandi ,dark brown,embroidery print ,straight pants,karandi ,dark brown,printed border,wool ,chocolate brown,embroidery ,dark brown,flats,brown ,hand bag
42,female,warm,dark,tall,chubby/obese,autumn,dawat,nill,islamabad,38,18-02-25,kurta ,organza,grey ,embroidery  sequins ,wide-leg trouser,satin ,grey ,plain,organza,grey ,fringed lace,grey ,heels,silver,clutch
43,female,warm,light,short,skinny/slim,spring,wedding,mehndi,islamabad,38,18-02-25,kurti,texture lawn ,tea pink ,laced cuffs,wide-leg trouser,cambric ,tea pink,plain,chiffon,white,plain ,tea pink,pumps,powder pink,hand bag
44,female,warm,light,short,skinny/slim,spring,wedding,barat,islamabad,38,18-02-25,co-ord shirt,chiffon blend ,jewel green,sequins jewelled neckline and sleeves,co-ord pants,chiffon blend,jewel green,sequins,nill,nill,nill,jewel green ,heels,jewel green,clutch
45,female,warm,light,short,skinny/slim,spring,wedding,walima,islamabad,32,05-03-25,kurti,organza,powder pink,embellishments,block trouser,raw silk,powder pink,plain,chiffon,white,plain ,powder pink,heels,silver,clutch
46,female,warm,light,short,skinny/slim,spring,eid,nill,islamabad,32,05-03-25,kurti ,organza,grey ,embroidery sequins,wide-leg trouser,satin ,grey ,plain,chiffon,white,fringed lace,grey ,heels,silver,clutch
47,female,warm,light,short,skinny/slim,spring,party,nill,islamabad,32,05-03-25,kurta ,organza,grey ,embroidery sequins,wide-leg trouser,satin ,grey ,plain,chiffon,white,fringed lace,grey ,heels,silver,clutch
48,female,warm,light,short,skinny/slim,spring,office/uni,nill,islamabad,32,05-03-25,short kurti ,texture lawn ,tea pink ,laced cuffs,wide-leg trouser,cambric ,white,plain,chiffon,white,plain ,tea pink,pumps,powder pink,hand bag
49,female,warm,light,short,skinny/slim,spring,dawat,nill,islamabad,22,07-11-24,kurti,cotton ,plum ,shiffli ,straight pants,cambric ,plum ,plain,chiffon,white,plain ,plum ,heels,plum ,clutch
50,female,warm,light,short,chubby/obese,spring,wedding,mehndi,islamabad,22,07-11-24,a-line kameez,jacquard silk net,burnt orange,embellishments,straight pants,raw silk,burnt orange,plain,chiffon,white,plain ,burnt orange,khussa,burnt orange,clutch
51,female,warm,light,short,chubby/obese,spring,wedding,barat,islamabad,22,07-11-24,long kameez,chiffon,maroon,embellishments,plain trouser,raw silk,maroon,plain,chiffon,maroon,embellishment,maroon,heels,golden,clutch
52,female,warm,light,short,chubby/obese,spring,wedding,walima,islamabad,22,07-11-24,long kameez,chiffon ,cream,embellishments,plain trouser,raw silk,cream,plain,chiffon,golden,embellishment,golden,heels,golden,clutch
53,female,warm,light,short,chubby/obese,spring,eid,nill,islamabad,13,26-10-24,long kameez,jacquard,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,brocade,brown,embellishment,brown ,heels,brown ,clutch
54,female,warm,light,short,chubby/obese,spring,party,nill,islamabad,13,26-10-24,long kameez,jacquard,brown ,crystals rhinestones ,straight pants,jacquard,brown ,plain,brocade,brown,embellishment,brown ,heels,brown ,clutch
55,female,warm,light,short,chubby/obese,spring,office/uni,nill,islamabad,13,26-10-24,kurta ,karandi ,dark brown,embroidery print ,straight pants,karandi ,dark brown,printed border,wool ,chocolate brown,embroidery,dark brown,flats,brown ,hand bag
56,female,warm,light,short,chubby/obese,spring,dawat,nill,islamabad,13,26-10-24,kurta ,organza,grey ,embroidery sequins,wide-leg trouser,satin ,grey ,plain,chiffon,white,plain ,grey ,heels,silver,clutch
57,female,warm,light,average,skinny/slim,spring,wedding,mehndi,islamabad,14,08-10-24,kaftan,chiffon,yellow,beads,tulip pants pants,denim,brown,embroidery,chiton,black,beads,grey,sandals,brown,tote
58,female,warm,light,average,skinny/slim,spring,wedding,barat,islamabad,14,08-10-24,frock,chiffon,purple,lace,churidar,cotton,brown,print,chiton,brown,beads,grey,kolhapuri chappal,beige,handbag
59,female,warm,light,average,skinny/slim,spring,wedding,walima,islamabad,14,08-10-24,frock,lawn,blue,sequins,tulip pants pants,cotton,grey,patchwork,chiton,beige,sequins,brown,sandals,beige,handbag
60,female,warm,light,average,skinny/slim,spring,eid,nill,islamabad,14,08-10-24,frock,silk,purple,embroidery,shalwar,velvet,black,print,chiton,black,sequins,brown,sandals,beige,
61,female,warm,light,average,skinny/slim,spring,party,nill,islamabad,12,24-06-24,frock,lawn,blue,sequins,churidar,cotton,brown,embroidery,chiton,beige,sequins,beige,kolhapuri chappal,chappal,
62,female,warm,light,average,skinny/slim,spring,dawat,nill,islamabad,12,24-06-24,kurta,lawn,green,lace,shalwar,denim,white,plain,chiton,white,embroidery,white,sandals,beige,
63,female,warm,light,average,skinny/slim,spring,office/uni,nill,islamabad,12,24-06-24,kurta,lawn,green,lace,shalwar,linen,white,plain,chiton,grey,embroidery,grey,khussa,black,
64,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,12,24-06-24,kurta,chiffon,purple,beads,tulip pants,,,,,,,,,,
65,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,20,28-02-25,frock,lawn,yellow,lace,shalwar,denim,black,plain,chiton,grey,sequins,beige,kolhapuri chappal,,
66,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,20,28-02-25,kaftan,chiffon,yellow,sequins,shalwar,linen,white,print,chiton,grey,beads,brown,khussa,color_silver,purse
67,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,20,28-02-25,frock,silk,blue,embroidery,churidar,velvet,beige,embroidery,chiton,grey,sequins,brown,khussa,white,handbag
68,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,20,28-02-25,kaftan,organza,yellow,lace,tulip pants,,,,,,,,,,
69,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,16,10-09-24,frock,lawn,blue,beads,churidar,denim,brown,plain,chiton,black,beads,grey,kolhapuri chappal,,
70,female,warm,light,average,chubby/obese,spring,wedding,mehndi,islamabad,16,10-09-24,kurta,organza,red,embroidery,tulip pants,,,,,,,,,,
71,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,16,10-09-24,kurta,organza,green,lace,trousers,linen,beige,plain,chiton,white,beads,beige,flip-flops,brown,clutch
72,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,16,10-09-24,shirt,lawn,red,beads,patiala,denim,beige,embroidery,chiton,brown,beads,brown,slippers,beige,purse
73,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,14,16-09-24,kurta,chiffon,purple,beads,trousers,velvet,grey,print,chiton,black,lace,brown,sandals,brown,handbag
74,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,14,16-09-24,kameez,organza,green,embroidery,palazzo,denim,beige,plain,chiton,beige,sequins,beige,flip-flops,brown,purse
75,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,14,16-09-24,shirt,silk,yellow,lace,palazzo,cotton,black,patchwork,chiton,grey,beads,black,sandals,brown,purse
76,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,14,16-09-24,kurta,organza,blue,beads,patiala,velvet,black,print,chiton,grey,lace,grey,slippers,black,clutch
77,female,warm,light,average,chubby/obese,summer,wedding,mehndi,islamabad,38,13-03-25,kurta,organza,green,lace,patiala,denim,brown,embroidery,chiton,white,beads,brown,sandals,beige,handbag
78,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,38,13-03-25,shirt,chiffon,blue,beads,tights,cotton,white,patchwork,chiton,grey,lace,beige,pumps,white,purse
79,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,38,13-03-25,kurti,organza,purple,beads,tights,linen,brown,patchwork,chiton,beige,sequins,beige,wedges,black,handbag
80,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,38,13-03-25,kurti,silk,purple,beads,pants,velvet,white,patchwork,chiton,white,lace,grey,pumps,brown,purse
81,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,28,09-03-25,blouse,silk,red,sequins,pants,velvet,grey,plain,chiton,brown,embroidery,beige,wedges,black,tote
82,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,28,09-03-25,shirt,silk,red,sequins,tights,denim,white,print,chiton,black,embroidery,grey,wedges,white,handbag
83,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,28,09-03-25,kurti,lawn,yellow,lace,cigarette pants,,,,,,,,,,
84,female,warm,light,average,chubby/obese,autumn,wedding,mehndi,islamabad,28,09-03-25,kurti,silk,red,lace,tights,linen,black,plain,chiton,black,embroidery,black,heels,color_silver,purse
85,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,25,19-06-24,sweater,chiffon,yellow,sequins,leggings,linen,beige,patchwork,chiton,grey,sequins,brown,loafers,brown,tote
86,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,25,19-06-24,sweater,chiffon,blue,sequins,skirt,velvet,black,embroidery,chiton,grey,sequins,white,loafers,brown,purse
87,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,25,19-06-24,jacket,lawn,red,embroidery,jeans,linen,brown,embroidery,chiton,grey,lace,beige,boots,white,purse
88,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,25,19-06-24,sweater,lawn,blue,sequins,skirt,velvet,grey,embroidery,chiton,black,embroidery,beige,boots,white,handbag
89,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,27,09-02-25,coat,lawn,blue,lace,jeans,linen,white,plain,chiton,brown,lace,black,boots,brown,purse
90,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,27,09-02-25,coat,chiffon,red,beads,skirt,denim,black,embroidery,chiton,brown,embroidery,black,ankle,,
91,female,warm,light,average,chubby/obese,winter,wedding,mehndi,islamabad,27,09-02-25,jacket,organza,green,sequins,leggings,velvet,white,plain,chiton,black,beads,white,ankle,,
92,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,27,09-02-25,kurta,chiffon,yellow,lace,shalwar,velvet,brown,plain,chiton,brown,beads,black,kolhapuri chappal,black,tote
93,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,29,01-04-25,kaftan,silk,red,embroidery,shalwar,linen,grey,patchwork,chiton,brown,lace,beige,khussa,white,tote
94,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,29,01-04-25,kurta,organza,green,sequins,tulip pants pants,denim,grey,print,chiton,brown,lace,white,sandals,color_silver,purse
95,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,29,01-04-25,kurta,chiffon,red,beads,churidar,linen,grey,patchwork,chiton,beige,lace,black,sandals,beige,handbag
96,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,29,01-04-25,frock,chiffon,red,beads,tulip pants pants,linen,beige,plain,chiton,black,beads,brown,sandals,color_silver,tote
97,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,39,21-12-24,kurta,chiffon,green,sequins,shalwar,linen,beige,patchwork,chiton,beige,sequins,grey,khussa,black,purse
98,female,warm,light,average,chubby/obese,spring,wedding,barat,islamabad,39,21-12-24,kaftan,chiffon,green,sequins,tulip pants pants,velvet,brown,print,chiton,grey,lace,beige,khussa,color_silver,clutch
99,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,39,21-12-24,kurta,lawn,blue,beads,patiala,denim,black,embroidery,chiton,white,sequins,grey,flip-flops,beige,purse
100,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,39,21-12-24,kurta,lawn,blue,lace,patiala,linen,white,plain,chiton,brown,beads,white,sandals,brown,purse
101,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,38,15-12-24,shirt,silk,green,lace,palazzo,denim,grey,embroidery,chiton,beige,sequins,brown,sandals,beige,handbag
102,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,38,15-12-24,shirt,chiffon,red,beads,trousers,cotton,white,patchwork,chiton,grey,beads,beige,slippers,black,purse
103,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,38,15-12-24,shirt,silk,yellow,beads,patiala,velvet,brown,patchwork,chiton,beige,lace,grey,sandals,beige,handbag
104,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,38,15-12-24,kurta,silk,green,lace,patiala,denim,black,embroidery,chiton,white,sequins,grey,slippers,brown,clutch
105,female,warm,light,average,chubby/obese,summer,wedding,barat,islamabad,40,16-07-24,shirt,silk,red,sequins,patiala,cotton,black,plain,chiton,grey,beads,brown,slippers,black,handbag
106,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,40,16-07-24,blouse,lawn,red,sequins,tights,denim,grey,plain,chiton,grey,sequins,brown,pumps,brown,purse
107,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,40,16-07-24,kurti,chiffon,red,beads,cigarette pants,denim,beige,patchwork,chiton,brown,embroidery,beige,heels,black,clutch
108,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,40,16-07-24,blouse,lawn,red,lace,tights,linen,black,patchwork,chiton,black,embroidery,grey,pumps,color_silver,tote
109,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,30,23-07-24,blouse,lawn,blue,embroidery,tights,velvet,brown,patchwork,chiton,black,beads,white,pumps,brown,tote
110,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,30,23-07-24,blouse,chiffon,red,beads,cigarette pants,denim,beige,embroidery,chiton,grey,embroidery,white,heels,black,clutch
111,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,30,23-07-24,shirt,chiffon,green,lace,tights,velvet,brown,patchwork,chiton,beige,beads,brown,pumps,beige,clutch
112,female,warm,light,average,chubby/obese,autumn,wedding,barat,islamabad,30,23-07-24,kurti,silk,blue,beads,pants,cotton,black,plain,chiton,grey,beads,grey,pumps,black,purse
113,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,25,02-08-24,coat,lawn,green,beads,leggings,denim,black,print,chiton,grey,lace,grey,loafers,color_silver,tote
114,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,25,02-08-24,coat,organza,red,embroidery,skirt,linen,grey,plain,chiton,black,sequins,grey,ankle boots,black,clutch
115,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,25,02-08-24,sweater,silk,red,embroidery,leggings,cotton,grey,print,chiton,white,embroidery,beige,boots,brown,handbag
116,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,25,02-08-24,sweater,organza,purple,sequins,jeans,velvet,grey,plain,chiton,brown,lace,black,loafers,color_silver,purse
117,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,10,28-10-24,jacket,organza,red,sequins,skirt,cotton,brown,patchwork,chiton,grey,beads,beige,loafers,white,clutch
118,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,10,28-10-24,sweater,silk,green,beads,jeans,denim,grey,plain,chiton,grey,lace,black,boots,beige,purse
119,female,warm,light,average,chubby/obese,winter,wedding,barat,islamabad,10,28-10-24,jacket,chiffon,purple,sequins,skirt,cotton,grey,patchwork,chiton,brown,sequins,grey,loafers,black,tote
120,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,10,28-10-24,kurta,chiffon,red,embroidery,churidar,denim,white,plain,chiton,black,sequins,black,khussa,white,clutch
121,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,19,03-12-24,kaftan,silk,purple,embroidery,tulip pants pants,linen,brown,patchwork,chiton,black,beads,black,khussa,color_silver,clutch
122,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,19,03-12-24,frock,chiffon,yellow,lace,shalwar,cotton,beige,patchwork,chiton,white,beads,white,sandals,beige,clutch
123,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,19,03-12-24,frock,organza,yellow,embroidery,tulip pants pants,velvet,brown,embroidery,chiton,brown,sequins,black,khussa,brown,purse
124,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,19,03-12-24,kurta,organza,purple,sequins,tulip pants pants,linen,brown,patchwork,chiton,brown,lace,grey,khussa,white,clutch
125,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,39,24-10-24,frock,lawn,blue,lace,tulip pants pants,cotton,grey,plain,chiton,beige,embroidery,grey,sandals,beige,purse
126,female,warm,light,average,chubby/obese,spring,wedding,walima,islamabad,39,24-10-24,frock,chiffon,red,beads,churidar,linen,beige,plain,chiton,brown,beads,grey,kolhapuri chappal,black,handbag
127,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,39,24-10-24,kurta,silk,purple,lace,trousers,cotton,grey,embroidery,chiton,beige,embroidery,black,slippers,beige,purse
128,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,39,24-10-24,kurta,chiffon,purple,lace,patiala,velvet,white,patchwork,chiton,beige,sequins,beige,flip-flops,beige,handbag
129,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,24,27-03-25,shirt,silk,purple,beads,patiala,denim,grey,patchwork,chiton,beige,beads,beige,slippers,brown,clutch
130,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,24,27-03-25,kameez,chiffon,red,embroidery,palazzo,cotton,black,embroidery,chiton,beige,embroidery,grey,flip-flops,beige,clutch
131,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,24,27-03-25,shirt,lawn,yellow,sequins,palazzo,linen,black,patchwork,chiton,brown,sequins,grey,sandals,brown,purse
132,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,24,27-03-25,kameez,organza,yellow,beads,palazzo,velvet,brown,embroidery,chiton,black,lace,black,slippers,color_silver,purse
133,female,warm,light,average,chubby/obese,summer,wedding,walima,islamabad,20,10-08-24,kameez,chiffon,yellow,lace,palazzo,velvet,brown,embroidery,chiton,white,lace,brown,flip-flops,black,handbag
134,female,warm,light,average,chubby/obese,autumn,wedding,walima,islamabad,20,10-08-24,kurti,chiffon,green,lace,cigarette pants,denim,beige,patchwork,chiton,brown,embroidery,black,pumps,black,clutch
135,female,warm,light,average,chubby/obese,autumn,wedding,walima,islamabad,20,10-08-24,shirt,lawn,purple,embroidery,cigarette pants,cotton,beige,patchwork,chiton,black,lace,white,wedges,brown,purse
